# time median lower_90th_percentile upper_90th_percentile
-9.000000000000000000e+00 3.544733988791252273e+02 2.356039806440105622e+01 2.271268915023057389e+01
-8.000000000000000000e+00 3.468465443154633476e+02 2.353815547796983765e+01 2.267980329948858298e+01
-7.000000000000000000e+00 3.422894989079533161e+02 2.361751124232438315e+01 2.297428516322298719e+01
-6.000000000000000000e+00 3.392626111029901494e+02 2.368267791128505451e+01 2.282654212861120868e+01
-5.000000000000000000e+00 3.381156888931253661e+02 2.350468394176880338e+01 2.266454943486945695e+01
-4.000000000000000000e+00 3.379183314052236256e+02 2.396072334713301188e+01 2.306212959767708526e+01
-3.000000000000000000e+00 3.385470379908443874e+02 2.395256816166397584e+01 2.357124800757594585e+01
-2.000000000000000000e+00 3.350012450543903242e+02 2.583081380384470549e+01 2.511151379050181731e+01
-1.000000000000000000e+00 3.289019207910625937e+02 2.844331005523412159e+01 2.797926829557729889e+01
0.000000000000000000e+00 3.322892357434878932e+02 3.098729373324573544e+01 3.506932981856891729e+01
1.000000000000000000e+00 3.192705098660721887e+02 3.243189727379916576e+01 3.479576218675646260e+01
2.000000000000000000e+00 3.175748487337963297e+02 3.359390032607848298e+01 3.668991298079993157e+01
3.000000000000000000e+00 3.114858586729881154e+02 3.542670129437385640e+01 3.665674514478098445e+01
4.000000000000000000e+00 3.087840395829474573e+02 3.422470582617995660e+01 3.438869247223760794e+01
5.000000000000000000e+00 3.087096133931201507e+02 3.522687169222149350e+01 3.846569615458605540e+01
6.000000000000000000e+00 3.222017985276228842e+02 4.105075049842167800e+01 4.772431763322350662e+01
7.000000000000000000e+00 3.131371469834294885e+02 4.306978675772245424e+01 5.250340194489029955e+01
8.000000000000000000e+00 3.110730996767509851e+02 4.873874732948371502e+01 6.064336729796650616e+01
9.000000000000000000e+00 3.190298211259398613e+02 5.617649537044377439e+01 7.350154177735493022e+01
1.000000000000000000e+01 3.124936813132999305e+02 6.348065561467674911e+01 7.359946608763158338e+01
1.100000000000000000e+01 3.128846982043290268e+02 5.328732135800566994e+01 7.473539357944105177e+01
1.200000000000000000e+01 3.013591312652927172e+02 5.034707769166993785e+01 6.697268240039159082e+01
1.300000000000000000e+01 3.130797786999588084e+02 5.637027725403436307e+01 8.639321295621817853e+01
1.400000000000000000e+01 3.050115093847309709e+02 6.321673173283912206e+01 9.081279475271566071e+01
1.500000000000000000e+01 3.023022295098463701e+02 6.693820861807191136e+01 8.896298295200290340e+01
1.600000000000000000e+01 2.961474529806214377e+02 7.376403428521319938e+01 9.183935505340645022e+01
1.700000000000000000e+01 2.907777524129568292e+02 8.495653785360212851e+01 9.687997290075020373e+01
1.800000000000000000e+01 2.765115984349162090e+02 6.662872493818713338e+01 8.777249834508467075e+01
1.900000000000000000e+01 2.619388440522674273e+02 6.578004135924760476e+01 1.027672510208855670e+02
2.000000000000000000e+01 2.459360596580746119e+02 6.622820534660047542e+01 1.219448497044325563e+02
2.100000000000000000e+01 2.678881517191222770e+02 8.300082159336665200e+01 1.104311673927262518e+02
2.200000000000000000e+01 2.661151548364953214e+02 8.434631730199723165e+01 1.062453371558418098e+02
2.300000000000000000e+01 2.534467704156807599e+02 6.954403987497565254e+01 9.820279796711594145e+01
2.400000000000000000e+01 2.861697539772990240e+02 9.049219649360583162e+01 1.210177895356326303e+02
