# time median lower_90th_percentile upper_90th_percentile
-9.000000000000000000e+00 6.138912420314628804e+01 1.666945239762007702e+00 1.833500710203864514e+00
-8.000000000000000000e+00 6.182826450916565619e+01 1.793147953066629441e+00 1.907896271317206072e+00
-7.000000000000000000e+00 6.250327031928121357e+01 2.012686518064420227e+00 1.891702342896323330e+00
-6.000000000000000000e+00 6.268019519445342524e+01 2.450746867499745463e+00 2.047684626091715643e+00
-5.000000000000000000e+00 6.306812106204444035e+01 3.076490152450297444e+00 2.156991165527955445e+00
-4.000000000000000000e+00 6.211258375603805604e+01 3.328728367083812145e+00 3.083637357064340279e+00
-3.000000000000000000e+00 6.194067251631076232e+01 2.917893160741293457e+00 3.221421788567830902e+00
-2.000000000000000000e+00 6.111003639719095304e+01 2.061879012445757553e+00 2.905626006824576280e+00
-1.000000000000000000e+00 6.170048251774561976e+01 2.050009658407915936e+00 2.575791940900536758e+00
0.000000000000000000e+00 6.254877403812832881e+01 1.986165810924518382e+00 2.137853077511365996e+00
1.000000000000000000e+00 6.287208420129453401e+01 2.123492501476832217e+00 2.144985196380623904e+00
2.000000000000000000e+00 6.323875967518495855e+01 2.405291631561027543e+00 2.231308400263905867e+00
3.000000000000000000e+00 6.383648695738737899e+01 2.812674427277350730e+00 2.370213674033195161e+00
4.000000000000000000e+00 6.485337373834207142e+01 3.043090279177924629e+00 2.389079776419208656e+00
5.000000000000000000e+00 6.371225370541495181e+01 3.198341181819962742e+00 2.931874401567483801e+00
6.000000000000000000e+00 6.270076813503712287e+01 2.564128545734867259e+00 2.718711917600558081e+00
7.000000000000000000e+00 6.283691497721301289e+01 2.572085457288892485e+00 2.760406981221080969e+00
8.000000000000000000e+00 6.295468326692824945e+01 2.592343985305241461e+00 2.620379318637823474e+00
9.000000000000000000e+00 6.361282118402113639e+01 2.657554788367612275e+00 2.555655759734726473e+00
1.000000000000000000e+01 6.451375395212745900e+01 2.921627878081743290e+00 2.956718193928963956e+00
1.100000000000000000e+01 6.491533384906541926e+01 2.935419846129569521e+00 2.751452624504977962e+00
1.200000000000000000e+01 6.503581707995144257e+01 3.213473774358064361e+00 2.850060535364349334e+00
1.300000000000000000e+01 6.423698820032990398e+01 3.254764086706558146e+00 3.131537746699606828e+00
1.400000000000000000e+01 6.439749595411532823e+01 3.264814605194473529e+00 3.206411634946221056e+00
1.500000000000000000e+01 6.447470797221131988e+01 3.280057342609566717e+00 3.220735136337310678e+00
1.600000000000000000e+01 6.471845225630741538e+01 3.429944177046749587e+00 3.253931669851311881e+00
1.700000000000000000e+01 6.417055694726190040e+01 3.760102129328842580e+00 3.407781678613105214e+00
1.800000000000000000e+01 6.495980629209347512e+01 3.643336598036114538e+00 3.479376211970091504e+00
1.900000000000000000e+01 6.375017503258546014e+01 4.326604830335504914e+00 3.743478002985625608e+00
2.000000000000000000e+01 6.280552554542781252e+01 4.456400019911157528e+00 4.010797056090325441e+00
2.100000000000000000e+01 6.225615487448060748e+01 4.325693625113679275e+00 4.217049922945967921e+00
2.200000000000000000e+01 6.226247694684525413e+01 4.262432451493907593e+00 4.192135685375291132e+00
2.300000000000000000e+01 6.222848501377738728e+01 4.725277739645598274e+00 4.506283468710506668e+00
2.400000000000000000e+01 5.883504475130885680e+01 6.096754765255766984e+00 5.412769792040165839e+00
