# time                    log_evidence              dlog_evidence
0.000000000000000000e+00 -1.240563126938206842e+06 9.652418482371910580e-02
6.000000000000000000e+00 -1.240559064866733039e+06 9.370620703478486913e-02
9.000000000000000000e+00 -1.240555507539392216e+06 8.935395480705525528e-02
1.000000000000000000e+01 -1.240548098268023925e+06 9.179767749664612120e-02
1.100000000000000000e+01 -1.240546979720133590e+06 8.797175326713770060e-02
1.200000000000000000e+01 -1.240544555666567525e+06 8.946730415146601778e-02
1.300000000000000000e+01 -1.240541773960423656e+06 8.764079157971320366e-02
1.400000000000000000e+01 -1.240542793068289990e+06 8.488411051250042971e-02
1.500000000000000000e+01 -1.240542077242157655e+06 8.439389345188545721e-02
1.600000000000000000e+01 -1.240536185617645038e+06 8.649032801276822224e-02
1.700000000000000000e+01 -1.240534884444351075e+06 8.398255860535853989e-02
1.800000000000000000e+01 -1.240533311754148686e+06 8.351921971995573957e-02
1.900000000000000000e+01 -1.240529796440807637e+06 8.523129280206942493e-02
2.000000000000000000e+01 -1.240530193241641624e+06 8.335070290193453968e-02
2.100000000000000000e+01 -1.240532541805513669e+06 8.273319478100669977e-02
2.200000000000000000e+01 -1.240532229570919881e+06 8.182146187179661911e-02
2.300000000000000000e+01 -1.240533939106787089e+06 7.959224117684830790e-02
2.400000000000000000e+01 -1.240531431802946841e+06 7.458364642655132548e-02
