# time log_evidence dlog_evidence
-9.000000000000000000e+00 -1.249583406262696721e+06 8.188773634907997589e-02
-8.000000000000000000e+00 -1.249586549065413885e+06 8.345359349199178711e-02
-7.000000000000000000e+00 -1.249588064142297255e+06 8.438037265319911495e-02
-6.000000000000000000e+00 -1.249588579121155199e+06 8.382250433980101278e-02
-5.000000000000000000e+00 -1.249590301984817488e+06 8.572262863047132309e-02
-4.000000000000000000e+00 -1.249591639127690345e+06 8.334796033244507019e-02
-3.000000000000000000e+00 -1.249589906471442897e+06 8.394922292629375393e-02
-2.000000000000000000e+00 -1.249586920202953741e+06 7.702907443774935359e-02
-1.000000000000000000e+00 -1.249585207939011743e+06 7.840241614659820835e-02
0.000000000000000000e+00 -1.249578894178082468e+06 7.603759681898530909e-02
1.000000000000000000e+00 -1.249578702514375327e+06 7.650454595307225325e-02
2.000000000000000000e+00 -1.249574374660415342e+06 7.886859461026125839e-02
3.000000000000000000e+00 -1.249573523029296659e+06 7.797931127037925625e-02
4.000000000000000000e+00 -1.249571614373689517e+06 8.182027459888428778e-02
5.000000000000000000e+00 -1.249572578371968819e+06 7.831090896921988342e-02
6.000000000000000000e+00 -1.249572517870839918e+06 7.259889124933445459e-02
7.000000000000000000e+00 -1.249571853832184803e+06 7.484241397610549851e-02
8.000000000000000000e+00 -1.249565474934017053e+06 7.329493118830489318e-02
9.000000000000000000e+00 -1.249564809687870322e+06 7.277243952513152980e-02
1.000000000000000000e+01 -1.249558319352072198e+06 7.530791113359099065e-02
1.100000000000000000e+01 -1.249558084632178769e+06 7.443392718573735301e-02
1.200000000000000000e+01 -1.249557737945482600e+06 7.511334033721650538e-02
1.300000000000000000e+01 -1.249551071073304163e+06 7.229198733724365167e-02
1.400000000000000000e+01 -1.249551226681003114e+06 7.065527030188947788e-02
1.500000000000000000e+01 -1.249551537476461381e+06 7.113944334841718065e-02
1.600000000000000000e+01 -1.249547137269517872e+06 6.920131684537972339e-02
1.700000000000000000e+01 -1.249547285635435022e+06 6.842461631641158504e-02
1.800000000000000000e+01 -1.249544389189985814e+06 6.762983044871884175e-02
1.900000000000000000e+01 -1.249541449862835463e+06 6.736110045705749616e-02
2.000000000000000000e+01 -1.249541959305768600e+06 6.321434383050746064e-02
2.100000000000000000e+01 -1.249542407078893855e+06 6.374510537328388626e-02
2.200000000000000000e+01 -1.249540921254099812e+06 6.118614909131667168e-02
2.300000000000000000e+01 -1.249542688557165908e+06 5.873139987061072598e-02
2.400000000000000000e+01 -1.249540130735638784e+06 5.768798597328213956e-02
